name,freereturns,itemssold,status,price,shipping
"Apple iPhone XR 256GB|128GB|64GB| GSM/ CDMA Factroy Unlocked- ""Excellent""",False,0,Excellent - Refurbished,33988,
Apple iPhone 11 (PRODUCT)RED - 64GB (T-mobile)  A Excellent,False,0,Excellent - Refurbished,40999,
Apple iPhone 11 (PRODUCT)RED - 64GB (T-mobile Sprint)  B Good,False,0,Good - Refurbished,38499,
Apple iPhone 12 mini (PRODUCT)RED - 256GB (Unlocked) - VERY GOOD,False,0,Very Good - Refurbished,59999,0
Apple iPhone 12 (PRODUCT)RED - 64GB (Unlocked) - Excellent ,False,0,Excellent - Refurbished,67499,
"Apple iPhone 11 GSM+CDMA Factory Unlocked Verizon T-Mobile AT&T -""Excellent""",False,0,Excellent - Refurbished,44988,
New ListingApple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA   GSM),False,,Pre-Owned,33000,0
Lot of (2) Apple iPhone 7 Plus Product Red Verizon 256GB MPR92LL/A iOS 15 !READ!,True,,Pre-Owned,18850,0
Apple iPhone 12 Mini 64GB (Product) Red Verizon MG6J3LL/A Smartphone,True,,Open Box,51900,
Apple iPhone 12 mini (PRODUCT)RED - 64GB (AT&T) Great Condition,False,,Pre-Owned,60000,0
Apple iPhone 11 64GB (Product)Red AT&T ONLY MWHV2LL/A GRADE C No SIM CB701Au19,True,,Pre-Owned,28318,0
New Apple iPhone 12 (PRODUCT)RED - 128GB (Factory Unlocked),True,,Brand New,77999,0
"Apple Genuine iPhone 12 Pro Max 6.7"" Silicone Case with Magsafe In Retail",True,,Open Box,2399,
Apple iPhone 11 - 64GB - PRODUCT RED (Unlocked) (CDMA + GSM) - Excellent,True,0,Excellent - Refurbished,45999,
Apple iPhone 11 Pro Max Silicone Case - (PRODUCT)RED,True,,Brand New,1599,
Authentic Genuine Original Apple Pencil Natural Leather Case Protective Cover US,False,,Brand New,999,
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),True,0,Pre-Owned,31999,0
Apple Genuine Leather Protective Cover Case for iPhone XS Max (PRODUCT) RED,False,,Brand New,2195,
New ListingApple iPhone 13 (PRODUCT)RED - 128GB - (Verizon),False,,Brand New,79999,530
Apple iPhone 8 (PRODUCT)RED - 256GB - (Unlocked) A1863 (CDMA + GSM),False,,Pre-Owned,18000,2000
Apple iPhone 11 64GB (Product)Red AT&T ONLY MWHV2LL/A GRADE C No SIM CB701,True,0,Pre-Owned,34998,0
Apple iPhone 12 (PRODUCT)RED - 64GB (Unlocked) - Average Condition ,True,,Pre-Owned,52995,
New ListingApple iPhone 11 (PRODUCT)RED - 64GB (AT&T) A2111 (CDMA + GSM),False,,Open Box,40000,0
New ListingApple iPhone XR (PRODUCT)RED - 64GB - (T-Mobile) A1984 (CDMA + GSM),False,,Open Box,22200,1065
New ListingApple iPhone 8 Plus (PRODUCT)RED - 64GB - (Unlocked) A1864 (CDMA + GSM),False,,Pre-Owned,15000,850
Apple Silicone Case with MagSafe for iPhone 12 Pro/12 - colors,True,,Open Box,1699,
Apple iPhone 11 (PRODUCT) RED - 64GB (Unlocked) A2111 Read Description,True,,Pre-Owned,39900,
"Apple iPhone Box Empty Original iPhone 12 Pro Max, 12 Pro, 12 Mini, 12 Used ",False,,Pre-Owned,649,0
Apple iPhone 12 mini - 64GB - Product Red (Unlocked) - New Inbox,True,0,Brand New,57499,
New ListingApple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB (Unlocked) A2275 (CDMA + GSM),False,,Pre-Owned,30000,530
Apple iPhone 12 (PRODUCT)RED - 64GB (Verizon).  NO BOX but New Conditon,False,,Open Box,50000,540
Apple iPhone 11 (PRODUCT)RED - 128GB (Unlocked) MWJN2LL/A,False,,Pre-Owned,40000,415
GENUINE Apple Leather Folio For iPhone XS Max (6.5”)MRX32ZM/A (PRODUCT)RED NEW!,False,,Brand New,1799,
New ListingApple iPhone 11 128GB Product Red Unlocked - Excellent,False,,Pre-Owned,2500,625
Apple iPhone 8 (PRODUCT)RED - 256GB - (Unlocked) A1863 (CDMA + GSM),False,,Pre-Owned,20000,1065
Apple iPhone 12 (PRODUCT)RED - 256GB (Unlocked) A2172,False,,Pre-Owned,59000,1065
🔥 NEW! SEALED! Apple iPhone 13 mini (PRODUCT)RED - 256gb (Unlocked) *IN HAND*,True,,Brand New,86499,
Apple iPhone 12 (PRODUCT) RED color  128GB unlocked,True,0,Open Box,71999,0
Authentic Genuine Original Apple Pencil Natural Leather Case Cover SEALED US,False,,Brand New,999,
Apple iPhone 11 (PRODUCT) RED 64GB MH913LL/A T-Mobile / Metro PCS / Sprint ONLY ,False,,Pre-Owned,34900,1295
Apple iPhone 11 (PRODUCT) RED - 64GB A2111 Read Description (Locked),False,,Pre-Owned,6300,0
Apple iPhone 11 A2111 MWKW2LL/A (PRODUCT) RED 128GB (Verizon) (CDMA + GSM)(0146),False,,Pre-Owned,40200,742
Apple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM),False,,Pre-Owned,25249,925
Apple iPhone 11 GSM+CDMA Factory Unlocked Verizon T-Mobile AT&T,True,234,Open Box,44988,
Apple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM),False,,Pre-Owned,20250,1065
New Listingapple iphone xr product red - 64gb - unlocked,False,,Pre-Owned,14000,1595
Apple iPhone XR (PRODUCT)RED - 64GB - (T-Mobile) - A1984 - *FUNCTIONAL*,True,,Pre-Owned,27499,
Apple iPhone 8 (PRODUCT)RED - 256GB - (Verizon) A1863 (CDMA + GSM),False,,Pre-Owned,11300,1065
Apple iPhone 8 Plus (PRODUCT)RED - 64GB - (Unlocked) A1864 (CDMA + GSM),False,,Pre-Owned,26500,985
New ListingApple iPhone 8 (PRODUCT)RED - 64GB - (Unlocked) A1863 (CDMA + GSM),False,,Pre-Owned,2050,845
Apple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM),False,,Brand New,60000,985
Apple iPhone 11 (PRODUCT)RED - 64GB Unlocked,False,,Pre-Owned,33000,1065
Apple iPhone 12 mini A2176 128GB (PRODUCT) Red! Unlocked. New from Apple,False,,Brand New,57000,0
Apple iPhone 11 (PRODUCT)RED - 64GB (T-Mobile) A2111 (CDMA + GSM),False,,Pre-Owned,36000,1065
Apple iPhone 13 mini (PRODUCT)RED - 128GB - (T-Mobile),False,,Open Box,48000,0
Apple iPhone 8 (PRODUCT)RED - 64GB - (Unlocked) A1863 (CDMA + GSM) Works - Read,True,,Pre-Owned,11696,500
Apple iPhone 12 (PRODUCT)RED - 128GB (Unlocked),False,,Open Box,42500,530
Apple MX9M2LL/A iPhone SE (2nd generation) - (PRODUCT) RED,True,,Pre-Owned,17595,0
READ INFO IC L0cked! Apple iPhone 7 Plus 128GB Product Red A1661,True,,Parts Only,6999,0
Apple iPhone 13 (Product)RED 128GB Unlocked for Any Carrier Excellent Condition,False,,Pre-Owned,76999,0
Apple iPhone 11 (PRODUCT) RED 128GB (Xfinity) A2111 Smartphone LCD White Dot,True,0,Pre-Owned,37995,0
Apple iPhone 11 (PRODUCT)RED - 128GB (Unlocked) A2111 (CDMA + GSM),False,,Pre-Owned,22250,1625
Apple iPhone 12 (PRODUCT)RED - 256GB (Unlocked) *WORLD PHONE* Flawless! Warranty,True,0,Open Box,75500,
 Apple iPhone 11 (PRODUCT)RED 64GB Unlocked (CDMA + GSM) LCD Blue Mark. Grade B+,False,0,Pre-Owned,34999,
New ListingGameStop Apple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB (Unlocked) (CDMA + GS,False,,Open Box,22500,540
,False,,,,
For iPhone 12 12 Pro 12 Pro Max 12 Mini | Spigen® [tR Optik] Camera Cover,True,0,Brand New,1299,
Apple iPhone XR 64GB Product Red Unlocked CDMA + GSM - Minor Issue - GOOD,True,0,Refurbished,26999,
Apple iPhone 12 (PRODUCT)RED - 64GB (GSM + CDMA) Minor Issue - Grade B+,True,0,Pre-Owned,54999,0
Apple OEM Authentic Original Silicone Case for iPhone 12 Pro Max - (Product) RED,False,,Open Box,2160,0
"Apple iPhone 11 (PRODUCT)RED (SEVERE EXTERIOR DAMAGE, READ)",False,,Parts Only,13900,599
Apple iPhone 11 (PRODUCT)RED - 64GB (T-mobile Metropcs)  A Excellent,True,0,Excellent - Refurbished,40999,
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB (AT&T) A2275 (CDMA + GSM),False,,Open Box,27500,1625
Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked),False,,Brand New,45000,955
Apple iPhone 7 (PRODUCT)RED - 128GB - (Unlocked) A1660,False,0,Pre-Owned,11999,0
Apple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM),False,,Pre-Owned,35000,985
Apple iPhone 8 (PRODUCT)RED - 64GB - (Unlocked) A1905 (GSM),False,,Pre-Owned,9600,1000
Apple iPhone 12(PRODUCT)RED 64GB (UNLOCKED)Clean IMEI PLEASE READ DESCRIPTION,False,,Pre-Owned,39999,955
[NEW/Sealed] Apple iPhone XR Clear Phone Case Apple OEM Apple Product,False,,Brand New,1099,
Apple iPhone XR (PRODUCT) RED - 64GB - (Unlocked) A1984 (CDMA + GSM),True,0,Open Box,33799,
Apple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM),False,0,Brand New,40000,985
Apple iPhone 7 (PRODUCT)RED - 128GB - (AT&T) A1778 (GSM) NEEDS NEW CHARGE PORT,False,,Pre-Owned,8800,1595
Apple iPhone 11 Pro Silicone Case Blue Horizon Original OEM Apple Product - NEW!,False,,Brand New,1179,0
Apple iPhone 11 (PRODUCT)LIGHT BLUE - 64GB (T-Mobile) A2111 (CDMA + GSM),False,0,Pre-Owned,35000,925
Apple iPhone 13 (PRODUCT)RED - 128GB - (AT&T) - Excellent Condition ,True,,Pre-Owned,75000,
Apple iPhone 8 - 64GB Verizon (PRODUCT) RED,True,,Pre-Owned,3400,799
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB (Unlocked) A2275 (CDMA + GSM),False,,Pre-Owned,13250,0
New ListingApple iPhone XR (PRODUCT)RED 128GB T-Mobile Brand New Screen And Battery.,False,,Pre-Owned,34000,1595
Apple iPhone 7 Plus (PRODUCT)RED - 256GB - (Unlocked) A1661,False,,Pre-Owned,15000,1595
Apple iPhone SE (2nd Gen) - 64GB Verizon (PRODUCT) RED,True,,Pre-Owned,2350,799
Apple AirTag Leather Key Ring - Red (PRODUCT RED),True,,Refurbished,1499,
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),False,,Pre-Owned,19200,700
"Apple iPhone 13 Mini 5.4"" - 128GB - 256GB - 512GB Unlocked Sealed Ready To Ship",False,0,Brand New,102900,0
GENUINE Apple Leather Folio For iPhone XS Max (6.5”)MRX32ZM/A (PRODUCT) USED,False,,Pre-Owned,1025,0
Apple iPhone 8 - 64GB (PRODUCT)RED (Unlocked) AT&T T-Mobile Verizon Sprint A1863,False,0,Brand New,28900,650
New ListingApple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) EXCELLENT CONDITION! 🚛💨,False,,Pre-Owned,29900,1500
Apple iPhone XR (PRODUCT)RED - 64GB - (Sprint) A1984 (CDMA + GSM),False,,Parts Only,4800,0
New ListingApple iPhone 11 (PRODUCT)RED Bundle- 64GB (Unlocked) A2111 (CDMA + GSM),False,,Pre-Owned,50000,0
Apple iPhone 13 mini (PRODUCT)RED - 128GB - (Unlocked),True,,Brand New,79999,0
Apple iPhone 8 Product Red A1863 (RED) 256GB Verizon,True,,Pre-Owned,20000,1506
Apple iPhone 8 - 64GB - PRODUCT RED A1863 GSM & CDMA UNLOCKED 4G LTE ~MRF~ FAIR!,True,0,Pre-Owned,17499,
Apple iPhone XR (PRODUCT)RED - 128GB - (Unlocked) A1984 (CDMA + GSM),True,0,Open Box,38999,
iPhone 11 Pro Leather Case - Used - Genuine Apple Product,False,,Pre-Owned,99,415
Apple iPhone XR (PRODUCT)RED - 64GB - (Unlocked) A1984 (CDMA + GSM),False,,Pre-Owned,24750,1000
Apple iPhone 8 Plus (PRODUCT) RED - 64GB - Fully Unlocked Smartphone - A1864,True,0,Open Box,28999,
Woven Nylon Sport Loop Band for Apple Watch Series 6/5/4/3/2/1/SE 38/42/40/44mm,False,,Brand New,475,0
"Apple Computer 'Product Guide, Spring 1999'",False,,,3995,0
Genuine Apple iPhone XS Max Silicone Case / Cover (PRODUCT) RED - MRWH2ZM/A New,True,,Brand New,1500,
Apple iPhone 8 Plus (PRODUCT)RED - 64GB - (T-Mobile) A1897 (GSM),False,,Open Box,20250,955
Apple iPhone 12 BUNDLE (PRODUCT)RED - 256GB (Unlocked),False,,Pre-Owned,69900,880
Apple iPhone 7 - 128GB (PRODUCT)RED (Unlocked) AT&T TMobile Verizon Sprint A1660,False,0,Brand New,27999,0
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB (Sprint) A2275 (CDMA + GSM),False,,Brand New,5100,999
Apple iPhone 11 (PRODUCT)RED - 64GB (Unlocked) n65,False,,Parts Only,32000,0
Apple iPhone 11 - 64GB -  Unlocked (PRODUCT)RED A2111 Clean ESN Smartphone ,False,0,Pre-Owned,41995,0
Apple iPhone 11 64GB (Product)Red AT&T ONLY MWHV2LL/A GRADE C No SIM CB701Au20,True,,Pre-Owned,20550,0
Apple iPhone SE (2nd Gen) - 64GB Verizon (PRODUCT) RED,True,,Pre-Owned,2250,799
Apple iPhone XR (PRODUCT)RED - 128GB 12.4 Jailbroken,False,0,Pre-Owned,53500,0
New ListingApple iPhone 11 (PRODUCT)RED - 128GB (Unlocked). ,False,,Pre-Owned,25000,400
"Apple iPhone XR 256GB|128GB|64GB| GSM/ CDMA Factroy Unlocked- ""Excellent""",True,0,Excellent - Refurbished,33988,
Apple iPhone XR (PRODUCT) RED 64GB Sprint A1984 - LCD Damage - Read Description,True,,Parts Only,17499,
Apple iPhone 12 (PRODUCT)RED - 64GB Cricket Wireless,False,,Brand New,58900,520
New ListingApple iPhone 13 (PRODUCT)RED - 128GB - (Verizon),False,,Brand New,95000,550
New ListingApple iPhone 11 (PRODUCT)RED - 128GB (Sprint) A2111 (CDMA + GSM),False,,Pre-Owned,50000,0
Apple iPhone SE 2nd Gen. (PRODUCT)RED - 64GB - (T-Mobile) - A2275 - WORKS GREAT,True,,Pre-Owned,32499,
Genuine Apple Watch Sport Band (Product)  Red  42mm / 44mm MLDJ2ZM/A,True,,Brand New,3995,
